,names,scores,logfoldchanges,pvals,pvals_adj
0,Irf8,14.280985,4.823901,8.786133548835558e-39,3.0320946877031507e-35
1,Prtn3,12.38471,1.6649331,7.608789023960061e-23,8.63342367299866e-20
2,Plod3,11.377247,3.841646,2.1804214316408594e-26,3.7623171802963025e-23
3,H2afy,10.376395,1.1672935,3.629359567696581e-17,1.0437433223434084e-14
4,Hspa5,10.1480665,1.8749127,1.0241039002376189e-18,3.9268695108000253e-16
5,Ly86,10.04889,27.116037,2.62132953072345e-21,1.809241642105325e-18
6,Ctsg,9.939086,1.5228298,8.672537214434905e-18,2.720811447910442e-15
7,Tyrobp,9.739048,2.232564,1.788724693146062e-18,6.17288891604706e-16
8,Hp,9.713697,2.8793256,7.458769031848416e-20,3.677173132701269e-17
9,Tifab,9.707642,4.798593,1.8874579021415455e-20,1.0856028700484123e-17
10,Mpo,9.320006,0.7897372,7.217293020566266e-16,1.465110483174952e-13
11,Ly6c2,9.299283,3.4226136,7.03712909509447e-19,3.0356415633963766e-16
12,Hsp90b1,9.293847,1.6869744,2.3445085316345326e-16,5.779213530479123e-14
13,Emb,9.166628,2.0892882,1.0579990123952012e-16,2.808580455212184e-14
14,P4hb,9.029207,1.3899841,2.5225771597968358e-15,4.35270688922944e-13
15,Elane,8.917553,1.716491,3.004133488976921e-16,6.911509780306236e-14
16,Alas1,8.657234,1.9838781,1.0029138643192987e-15,1.9228087476477222e-13
17,Unc93b1,8.442971,3.638563,5.007027714749385e-16,1.0799532902250078e-13
18,Manf,8.32237,1.7233453,4.16814231453651e-14,6.2540257075936934e-12
19,Cd52,8.266386,2.0772903,2.7035703219218272e-14,4.240918718614648e-12
20,Il6ra,8.24834,26.343338,2.414615375179325e-15,4.35270688922944e-13
21,Hdlbp,8.230763,1.7634898,6.165712168999868e-14,8.865780289674393e-12
22,Csf1r,8.110023,3.600579,5.384191612977355e-15,8.848021550659454e-13
23,Ahsa1,7.8930106,1.6612064,4.648519254095226e-13,5.859220218731635e-11
24,Slpi,7.725433,3.567014,7.672029333981216e-14,1.0590469292627672e-11
25,Slc25a5,7.674592,1.120846,5.656074341687364e-12,6.506370851054366e-10
26,Lmo1,7.6025734,26.244888,2.1367467447915264e-13,2.8361203908752143e-11
27,Pkm2,7.563682,1.1030232,7.566867280234995e-12,8.160393432528426e-10
28,Ramp1,7.5024924,1.2007092,1.029208494948394e-11,9.866106989074745e-10
29,Rps3,7.494909,0.25467524,9.000683895097976e-12,9.412533370297913e-10
30,Nfam1,7.4798613,3.4057038,4.753931211952645e-13,5.859220218731635e-11
31,Trem3,7.373107,26.222477,9.872170222065626e-13,1.1747882564258097e-10
32,Lcp1,7.318269,1.6779075,1.0800086891253965e-11,1.0073270232896605e-09
33,Shfm1,7.314675,1.2117486,2.4463228525601726e-11,2.0590878449232087e-09
34,1190002H23Rik,7.1659145,2.6127036,5.981452889949599e-12,6.658707717166472e-10
35,Sdhb,7.1636486,1.4793587,4.4394413394254736e-11,3.3305461005124585e-09
36,Tmem147,7.1408834,1.702821,2.869439243390375e-11,2.3577225783190916e-09
37,BC035044,7.1211143,2.5471053,9.753654368277748e-12,9.811372376913293e-10
38,Calr,7.1194987,0.67142737,1.0643612665215282e-10,6.802056908825544e-09
39,Psmb4,7.1156983,1.2753028,4.80054029824738e-11,3.524822248776959e-09
40,Nme2,7.1082206,1.0724853,7.517366496187335e-11,5.1884863556684986e-09
41,Hspa8,7.0849314,0.9007412,1.201696079682287e-10,7.3032859153581e-09
42,Erp29,7.071047,1.3153743,6.606663500783288e-11,4.652978722694516e-09
43,Bex6,7.0217247,2.92384,1.2355014046550918e-11,1.1220303545959793e-09
44,Ccne1,7.016481,26.019382,9.950681923847153e-12,9.811372376913293e-10
45,Tk1,6.994707,2.093748,3.8144535269607085e-11,2.991745254895774e-09
46,Krtcap2,6.9938216,1.2311254,1.4192178619653074e-10,8.162868069403795e-09
47,Cd34,6.981816,1.5729378,9.189898144865515e-11,6.098911249602094e-09
48,Wapal,6.949194,25.919762,1.524245573275286e-11,1.3487619162494902e-09
49,Idh1,6.927992,25.958576,1.742356135093279e-11,1.5032177555517265e-09
50,Thoc4,6.9125695,1.4447517,1.3360805597816358e-10,7.949679330700733e-09
51,BC005764,6.9105744,2.1737673,4.233549685595693e-11,3.2466622144423856e-09
52,Gart,6.905281,1.4166045,1.2062802004503383e-10,7.3032859153581e-09
53,Serp1,6.9007144,1.4979988,1.518053645214332e-10,8.588201851860099e-09
54,Atp5b,6.887081,0.79324543,4.864525407002533e-10,2.2815382004447365e-08
55,Tmem173,6.870999,2.6676466,3.6298703816658656e-11,2.9131820202625355e-09
56,Ckap4,6.8220873,1.7809073,1.1334202192103598e-10,7.1116966845362765e-09
57,Zfp706,6.8042884,1.3816146,2.381322186860364e-10,1.2613742099439476e-08
58,Lyar,6.794536,1.5807455,2.4123644699014937e-10,1.2613742099439476e-08
59,Lrrc33,6.7798243,1.541411,2.162347631827076e-10,1.1659783870992561e-08
60,Pgd,6.766693,1.6478772,2.063135160387852e-10,1.1301395934124567e-08
61,Ybx1,6.7505617,0.8753182,7.420454539564092e-10,3.2009985770044606e-08
62,Cnn3,6.737132,25.886791,5.7278998848134117e-11,4.118121354685642e-09
63,Tspo,6.73684,1.0550454,5.432316682099753e-10,2.499589982656833e-08
64,Fkbp4,6.7318425,1.1023614,6.074370710002985e-10,2.7582438579237233e-08
65,Snrpd1,6.7277374,1.2915994,3.7820896234042994e-10,1.85844932910103e-08
66,Lbp,6.712536,2.0351496,1.7341578344242045e-10,9.652546268706338e-09
67,Ftsj3,6.6610966,1.8968364,2.857968471455646e-10,1.4720670440288708e-08
68,D17Wsu104e,6.6592975,1.7456206,3.6303655054410504e-10,1.81570889264885e-08
69,Arhgap17,6.6546793,2.6062908,1.402540654094748e-10,8.162868069403795e-09
70,Abce1,6.645799,3.8510199,8.729732969700356e-11,5.907119309497241e-09
71,Ifi27l2a,6.6428514,25.83036,1.0216282369885787e-10,6.652149143108651e-09
72,Mapkapk2,6.624749,1.2861569,6.637214014045119e-10,2.9365417387781675e-08
73,Eif4g1,6.608008,1.4132084,6.786915830729998e-10,2.9647653837783828e-08
74,Aprt,6.6059723,1.3272346,6.563345839996639e-10,2.9365417387781675e-08
75,Ifrd2,6.6055503,1.8181489,4.892316048476108e-10,2.2815382004447365e-08
76,Cox5a,6.5806365,1.1284554,1.1408289429919932e-09,4.639383669740611e-08
77,Sdf2l1,6.560189,2.105037,3.8235265826187525e-10,1.85844932910103e-08
78,Rps27l,6.542897,1.1517316,1.1695925217833474e-09,4.639383669740611e-08
79,Tor3a,6.5261426,2.5512664,3.502535206653286e-10,1.7775366173765424e-08
80,Ddost,6.524609,1.4144454,9.377989625144443e-10,3.995486690910306e-08
81,Myc,6.515549,1.3448399,1.1609975804553271e-09,4.639383669740611e-08
82,Phb2,6.5148387,1.1408526,1.7542363956036025e-09,6.580293262204382e-08
83,Adsl,6.464583,1.6955643,1.0861253675748606e-09,4.5159260765070404e-08
84,Ssr2,6.4227757,1.1519915,2.2056301990837862e-09,8.012241912671734e-08
85,Tkt,6.417893,0.93101287,3.1005927818365568e-09,1.0618488553044831e-07
86,Pa2g4,6.402522,1.0427322,3.1261769194005203e-09,1.0618488553044831e-07
87,Nolc1,6.3795114,1.2581629,2.878001130641662e-09,1.0032304951357954e-07
88,Ms4a6c,6.365134,3.8185563,4.760960328539056e-10,2.2815382004447365e-08
89,Mrpl12,6.357114,1.2638383,2.2862697338831105e-09,8.218663387115224e-08
90,Mrto4,6.339467,1.8816975,1.8311742439017136e-09,6.795034748069693e-08
91,Dut,6.337502,1.2764511,3.1384695230674377e-09,1.0618488553044831e-07
92,Creld2,6.3365574,1.9128923,1.3836237994310443e-09,5.305428590929482e-08
93,Sh3bgrl3,6.326697,0.8161379,4.995221611532462e-09,1.6417628363236692e-07
94,Cct7,6.308983,0.94113356,5.2401204277961484e-09,1.7060052449362743e-07
95,Actb,6.3088813,0.3224767,7.297750616885802e-09,2.268877241339901e-07
96,Tpm3,6.3065734,1.1161711,4.002055526385406e-09,1.3408828758792267e-07
97,Gpx1,6.3038197,0.33648813,4.789892702479663e-09,1.5894153573324344e-07
98,Agpat5,6.2973585,1.8198417,2.194490733790141e-09,8.012241912671734e-08
99,Hexa,6.2964187,1.5396612,2.8655213125156797e-09,1.0032304951357954e-07
100,Anxa3,6.269678,2.5387845,1.3523335497338225e-09,5.243711325990361e-08
101,Uqcrq,6.2626944,1.1067504,5.332210697349945e-09,1.719762534257445e-07
102,Gfi1,6.2534575,3.6990213,9.62388036854589e-10,4.0502452624209594e-08
103,AK154077,6.2511106,1.8128321,2.851316876562796e-09,1.0032304951357954e-07
104,F13a1,6.237715,25.777401,1.1435114861644914e-09,4.639383669740611e-08
105,Ncl,6.2087226,0.62254703,9.62162677107881e-09,2.8139181344909297e-07
106,Gpc1,6.2014704,3.823655,1.2406309842499555e-09,4.8652471893711324e-08
107,Eif3b,6.199866,0.97086453,7.76717395037376e-09,2.3720811772336147e-07
108,Ssrp1,6.1880703,1.1266682,6.937453902605748e-09,2.1764684925356762e-07
109,Psmb8,6.1537685,0.8789017,1.0880909042124453e-08,3.1291680920309573e-07
110,Srp72,6.149107,1.700148,5.515631973463613e-09,1.746279444075498e-07
111,Sod1,6.1216607,0.88314354,1.1416772840375678e-08,3.256139096870782e-07
112,Ldha,6.0847435,0.8315733,1.5793793590594665e-08,4.395514651705015e-07
113,Bag1,6.072648,1.3545352,9.475185972783407e-09,2.794774939493636e-07
114,Impdh1,6.052569,1.8409803,8.345528966291119e-09,2.5043843880583174e-07
115,Rrp1b,6.0459127,1.6896367,7.920672349304952e-09,2.3977403752150343e-07
116,Hspa4,6.039398,1.231984,1.4260901030487377e-08,4.0011682484725157e-07
117,Hsp90ab1,6.026032,0.40106544,2.461348392414394e-08,6.338890524046324e-07
118,Ftl1,6.0121107,0.6339277,1.956249882428649e-08,5.169797730300491e-07
119,Mars,5.9923534,2.1582274,7.495320290680477e-09,2.309495564565922e-07
120,Sec61a1,5.982286,1.120829,1.6872385912495204e-08,4.658128302721676e-07
121,Mpnd,5.9631777,25.454912,5.493867002365436e-09,1.746279444075498e-07
122,Hnrnpd,5.958295,1.2385749,2.0032462178210374e-08,5.237274770985151e-07
123,Cdk4,5.9475627,0.7074521,2.792370478644434e-08,7.033920088906527e-07
124,Eif3g,5.922666,0.9760149,2.5489535133637072e-08,6.515880425643076e-07
125,Pycard,5.8962855,1.2830831,2.3292505816711934e-08,6.04379229875736e-07
126,C1qbp,5.8942604,1.1110198,2.8338510886660926e-08,7.086681236946873e-07
127,Nme1,5.8934016,0.8695128,3.219372799816865e-08,7.868156059824269e-07
128,Tmem109,5.8930793,2.9971151,8.668721025452708e-09,2.578944505072181e-07
129,Banf1,5.892005,0.9658403,3.237549001724272e-08,7.868156059824269e-07
130,1810009A15Rik,5.874717,1.7365458,1.7953689473413034e-08,4.878597037224282e-07
131,Idh2,5.8695717,1.1734465,3.6549412886203275e-08,8.612923656296138e-07
132,Dnajb11,5.856167,1.7947062,1.885158828579009e-08,5.082564935489188e-07
133,Hlx,5.8407545,25.446836,1.0865902763744483e-08,3.1291680920309573e-07
134,Csda,5.8385286,0.82110155,4.676409306783676e-08,1.027916466096208e-06
135,9630033F20Rik,5.8214197,25.457499,1.2089266269007014e-08,3.4196768765855087e-07
136,H47,5.817487,1.7214491,2.923559150225023e-08,7.206573305304682e-07
137,Cox5b,5.816346,1.3871279,3.598643570922462e-08,8.564771698795459e-07
138,Dnajc19,5.8074102,2.2282922,1.962455817645217e-08,5.169797730300491e-07
139,Flt3,5.8060822,2.259459,1.9266675227462352e-08,5.154209008525006e-07
140,Mybbp1a,5.8014107,1.1200112,4.663039954321613e-08,1.027916466096208e-06
141,Gnb2l1,5.801357,0.2622388,6.209866494295136e-08,1.3310713833423922e-06
142,Plcg2,5.7942805,1.5711207,3.901392343368595e-08,8.975803317976681e-07
143,Tomm5,5.7934527,1.6304276,2.8993930659802534e-08,7.198421201940902e-07
144,Srp19,5.7889004,1.5377239,3.668791009781316e-08,8.612923656296138e-07
145,Ebna1bp2,5.7791333,1.2619675,4.545375888309832e-08,1.027916466096208e-06
146,Ncln,5.7720203,1.4076589,3.860599037091294e-08,8.97481315388027e-07
147,Sfpi1,5.767534,1.4618206,4.578425551823011e-08,1.027916466096208e-06
148,Clta,5.763386,1.1407875,5.7185711964722706e-08,1.233424324939113e-06
149,Mkl1,5.750266,25.383787,1.7859423141768815e-08,4.878597037224282e-07
150,Ppa1,5.7434874,1.5389141,3.874955548908028e-08,8.97481315388027e-07
151,Ranbp1,5.743252,0.87058103,6.675537091181114e-08,1.4133299694273633e-06
152,Chchd10,5.7318954,1.9911567,3.489066844505341e-08,8.361645611380508e-07
153,Samm50,5.704637,1.267334,6.262549269102273e-08,1.334077625164935e-06
154,BC033430,5.690275,0.8327596,9.068732537985306e-08,1.8518459164844553e-06
155,Heatr1,5.6877413,1.6582232,4.624610747493862e-08,1.027916466096208e-06
156,Pld4,5.6816835,25.49197,2.5920706181834674e-08,6.577379193640548e-07
157,Atp5g3,5.679606,0.78940666,9.230528063307304e-08,1.8628393185072225e-06
158,Srm,5.6777654,0.93375653,9.16495202033601e-08,1.86048526012821e-06
159,2900010J23Rik,5.6722245,1.2111142,7.710177984412088e-08,1.6125954075276433e-06
160,Taldo1,5.6538916,0.9348851,1.1244377090663108e-07,2.1923358949083833e-06
161,Cct6a,5.640119,0.95442104,1.0071729043453823e-07,1.9975595936183417e-06
162,Ccnd2,5.6385713,1.1107204,9.583428438458931e-08,1.922814624483824e-06
163,Cacybp,5.6382008,1.244486,8.04307398826282e-08,1.6720872490057224e-06
164,Gm2058,5.6272235,25.348804,3.475454813864454e-08,8.361645611380508e-07
165,Cox8a,5.624501,0.8708168,1.3014166047309412e-07,2.4951048349591543e-06
166,Gnptab,5.621184,2.5606763,4.6347184615840794e-08,1.027916466096208e-06
167,Mrpl20,5.617448,1.3549459,8.990312279021422e-08,1.8467599806489837e-06
168,Me2,5.6033683,1.9534711,6.911537899320789e-08,1.4543730055217098e-06
169,Cldn15,5.592758,25.459173,4.179364673999264e-08,9.551647344351962e-07
170,Fasn,5.5819063,1.3161857,1.0630744465013125e-07,2.084471542543199e-06
171,1700020L24Rik,5.577487,2.8680336,5.049298672470196e-08,1.1028563113097878e-06
172,Cfl1,5.573553,0.60323447,1.8901627768151186e-07,3.482808386023352e-06
173,AK158095,5.568828,0.48869574,1.9063536683481618e-07,3.482808386023352e-06
174,Larp1,5.5672855,1.2759815,1.211657041369072e-07,2.335993547354563e-06
175,Hint1,5.5602517,0.6832014,1.8520554868097153e-07,3.4362599381614663e-06
176,Hip1,5.5445223,25.289412,5.401964503918014e-08,1.1724641196868594e-06
177,Ak2,5.538292,1.0988255,1.58976106921084e-07,3.0144315658497853e-06
178,Atic,5.517748,1.6685953,1.1596933168339908e-07,2.248371705839383e-06
179,Emg1,5.5177083,2.0358112,9.825163943216672e-08,1.959921431678655e-06
180,Mogs,5.515804,1.1623644,1.6829947794134101e-07,3.173778679647912e-06
181,Pdap1,5.4843493,1.373387,1.6996068219756348e-07,3.185144148208842e-06
182,Fcgr2b,5.4759994,2.855864,8.47719590685422e-08,1.7517846152427492e-06
183,Capzb,5.475692,0.959466,2.1815602709516135e-07,3.880703347965989e-06
184,Psmb10,5.4608145,1.0759699,2.0367024814837285e-07,3.6417928826944804e-06
185,hnRNP A2/B1,5.4567943,0.6552921,3.3016240701016004e-07,5.42566888853363e-06
186,Imp4,5.446964,1.6479747,1.565606055923642e-07,2.985031214912977e-06
187,Lta4h,5.446488,1.5579318,1.7074809255828334e-07,3.185144148208842e-06
188,Txn2,5.433101,1.0528535,2.5925353077340566e-07,4.407310023147896e-06
189,Hspd1,5.4302454,1.2089335,2.2743592375175877e-07,4.025032681370869e-06
190,Sepx1,5.423077,1.3759029,1.9101272732836593e-07,3.482808386023352e-06
191,Zfp507,5.4207473,25.280396,1.0350829223995325e-07,2.041183522971878e-06
192,Hspe1,5.413511,1.2037402,2.381030376150091e-07,4.149967589946447e-06
193,Gorasp2,5.4063835,1.4355383,2.3550994329030509e-07,4.125608194390065e-06
194,Ppm1g,5.4049654,1.247215,2.544028088558746e-07,4.346257887928828e-06
195,Rps21,5.4014845,0.6614786,4.1135991038551793e-07,6.482205711143482e-06
196,Sec11c,5.3951273,1.3765215,2.790496854873338e-07,4.6975632420331164e-06
197,Ncf4,5.394579,1.7581093,1.984845654225864e-07,3.586231598289768e-06
198,Eef1d,5.393619,1.0536339,3.03091347087363e-07,5.052986660862269e-06
199,Eif3k,5.393483,0.85176915,3.5221747625924636e-07,5.706584556669762e-06
200,Cox4i1,5.3902774,0.6543307,3.889885732209239e-07,6.18617311606179e-06
201,Bst2,5.390257,1.4394698,2.343979701189118e-07,4.125608194390065e-06
202,Tuba1b,5.373248,0.77745193,4.3822244554730504e-07,6.781639729075111e-06
203,Srsf6,5.366609,1.2630004,2.923572425995158e-07,4.897693418499656e-06
204,Mthfd2,5.3650055,2.0177739,2.0196555630972236e-07,3.630120493879437e-06
205,Grk6,5.3552656,1.7533708,2.44454753219369e-07,4.236823488296806e-06
206,Ran,5.3530645,0.9492187,4.081474029949828e-07,6.461085723558191e-06
207,Ndufb9,5.348921,1.0431709,3.821061453404858e-07,6.133247942186123e-06
208,Napsa,5.3400064,1.0751176,3.5731799365655144e-07,5.762170075274575e-06
209,Reep5,5.3342686,1.4232657,3.3295098957012736e-07,5.445563341263078e-06
210,C3,5.292829,3.4692016,1.9175125857561195e-07,3.482808386023352e-06
211,Fkbp11,5.290461,2.12898,2.656903807385144e-07,4.494595607493203e-06
212,Tmed3,5.2901816,1.2081741,4.138669713911518e-07,6.492067810322113e-06
213,Gpi1,5.284567,0.93161136,5.495360771015807e-07,8.359111739142347e-06
214,Gpr97,5.2767377,1.4039863,4.331140176752066e-07,6.7327769144015225e-06
215,Trappc5,5.267985,1.4731833,4.3284319137459443e-07,6.7327769144015225e-06
216,Cdca7,5.2549763,1.3168207,5.218480239658269e-07,8.003989025360305e-06
217,Arhgap32,5.2517486,25.091038,2.467694932331666e-07,4.236823488296806e-06
218,Zfp516,5.2517486,25.091038,2.467694932331666e-07,4.236823488296806e-06
219,Nudt19,5.249268,1.7261225,3.877482362894123e-07,6.18617311606179e-06
220,Bola2,5.241984,1.0821502,5.555036954297923e-07,8.359111739142347e-06
221,Snrpd2,5.236857,0.9729014,6.54639228416277e-07,9.572711768070221e-06
222,Kpnb1,5.2286854,1.2635293,5.547629891534352e-07,8.359111739142347e-06
223,Fam107b,5.219722,1.4371827,5.112040629126204e-07,7.875737594247558e-06
224,Sfrs7,5.2174067,0.9268939,7.099374067822354e-07,1.0040958978711042e-05
225,Cdc34,5.2158976,1.3143394,5.571126340199188e-07,8.359111739142347e-06
226,Lsm2,5.214746,1.31402,5.834219296620149e-07,8.715970040102223e-06
227,B4galnt1,5.2069497,1.3367934,6.182765199483667e-07,9.107774957777133e-06
228,Rpn2,5.2049503,1.0289494,6.680446645513609e-07,9.686647635994732e-06
229,Eif3c,5.200128,0.87694293,8.384725895828725e-07,1.1528162974703159e-05
230,Cdc6,5.19947,3.3724067,3.1638585666829385e-07,5.249267266164818e-06
231,Cox6a1,5.1915355,0.66542697,9.153897321946481e-07,1.2339882678920822e-05
232,S1pr3,5.1908226,3.412127,3.255139693026809e-07,5.374874201261013e-06
233,Atox1,5.1878953,1.1449089,6.841966467294645e-07,9.756870363071826e-06
234,Atp5j2,5.1852975,0.9810516,8.0273511492035e-07,1.1214610978604994e-05
235,Chst12,5.1846976,1.7045891,5.567532805238813e-07,8.359111739142347e-06
236,Igsf6,5.182561,3.414578,3.388730484925011e-07,5.516277784658591e-06
237,Prkcsh,5.182111,1.2553443,7.176908035838198e-07,1.0109187604766377e-05
238,Idh3a,5.1817975,1.5049151,6.61986698150424e-07,9.63930841905955e-06
239,2700094K13Rik,5.179648,0.95718503,8.373872227141552e-07,1.1528162974703159e-05
240,Gtf2f1,5.1792574,1.537318,5.882840189879228e-07,8.750724782445352e-06
241,Mfsd10,5.17568,1.3792958,6.814825780863292e-07,9.756870363071826e-06
242,Spcs2,5.167826,0.95668906,8.433696856574541e-07,1.1549479306364581e-05
243,Kars,5.1561847,1.0157852,8.955821640576086e-07,1.215646866327912e-05
244,FKBP12-T1,5.1519375,1.419693,7.569427959893213e-07,1.06187381665006e-05
245,Bola3,5.1481395,1.6885197,7.067071728867263e-07,1.0036405158979803e-05
246,Pdia3,5.1460147,1.147443,8.059181462457371e-07,1.1214610978604994e-05
247,Pou2f2,5.1388803,2.187353,6.183136718118534e-07,9.107774957777133e-06
248,Ssr1,5.1352243,1.1469381,8.590098433762513e-07,1.1717165887317957e-05
249,Cct5,5.1280704,0.685726,1.074797136660482e-06,1.394407864141099e-05
250,C184,5.1248894,1.251766,9.235237268730948e-07,1.2401090978362062e-05
251,Mat2a,5.115742,1.1021466,1.0030214321334405e-06,1.3161319248260467e-05
252,Cope,5.1027923,1.1339394,1.180647843999689e-06,1.5090428554233062e-05
253,Hspa14,5.101246,1.3705999,9.656308888922744e-07,1.2767786197575629e-05
254,Gm5506,5.1000605,1.5249571,8.982612312767823e-07,1.215646866327912e-05
255,Ndufs2,5.098429,1.2511365,1.0378519445402692e-06,1.3566769168971472e-05
256,Ppp1r14b,5.081052,1.4068534,9.82461390836358e-07,1.2940741449527753e-05
257,Cd24a,5.0796742,2.0416634,8.331780289365727e-07,1.1528162974703159e-05
258,Arf1,5.0765495,1.1604868,1.1887729373691875e-06,1.5138211833435668e-05
259,Uqcrc1,5.076289,1.1543884,1.1723539631005597e-06,1.5040124634423907e-05
260,Ndufc2,5.0691395,0.943137,1.297730788201815e-06,1.616775794254319e-05
261,Glrx5,5.068664,1.198832,1.2428336461676639e-06,1.5710691988734828e-05
262,Mtdh,5.067097,1.274259,1.1025160517592017e-06,1.4250123200827735e-05
263,Tom40,5.0641203,1.2601647,1.1995181065074428e-06,1.521888597631318e-05
264,Agps,5.062633,3.3658419,6.202049015003264e-07,9.107774957777133e-06
265,Pcbp1,5.062019,0.72585726,1.4998838970721686e-06,1.8420282308882756e-05
266,Fth1,5.0577965,0.5149033,1.5621721822949726e-06,1.9002099798540697e-05
267,Ugcgl1,5.0517287,1.5856141,1.0741937257158096e-06,1.394407864141099e-05
268,Itgam,5.0481553,24.95079,6.823073455113129e-07,9.756870363071826e-06
269,Slco4a1,5.0481553,24.95079,6.823073455113129e-07,9.756870363071826e-06
270,Parp1,5.046255,0.94047004,1.4281473073695502e-06,1.7601915563329707e-05
271,Psmb6,5.0312304,0.9449813,1.563777555139252e-06,1.9002099798540697e-05
272,Cebpe,5.0056334,2.7024412,9.462347281867326e-07,1.2559446334509285e-05
273,Npc2,4.9999537,0.9783693,1.9167038513570455e-06,2.2916878473191863e-05
274,Gatm,4.9915857,1.7513598,1.2831087658557006e-06,1.6078804784936688e-05
275,Nudc,4.9909086,1.0772288,1.7622458686290376e-06,2.133863330750459e-05
276,Ywhae,4.986469,0.97643036,1.8541583673112425e-06,2.229512378254738e-05
277,Cst7,4.9854,1.516168,1.4118709342120907e-06,1.7463679548264965e-05
278,Csrp2,4.984364,3.2895267,9.285455290963572e-07,1.2420196205083444e-05
279,Tomm6,4.9840817,0.91381454,1.921176867017555e-06,2.2916878473191863e-05
280,Magoh,4.983077,25.037802,9.379292284126327e-07,1.2497273232633187e-05
281,Cd93,4.9791083,1.9160427,1.2768809455126568e-06,1.6078804784936688e-05
282,Hnrnph1,4.962139,1.1170381,1.9973885004127633e-06,2.3606122311385088e-05
283,Ifngr2,4.959722,2.013514,1.385533130344367e-06,1.7199549758339607e-05
284,Mcm6,4.9507914,0.82438684,2.5771983262158987e-06,2.9547878484289257e-05
285,Cenpv,4.9403195,3.2968972,1.1417387410233218e-06,1.470201640026673e-05
286,Psme1,4.9338408,1.1629591,2.2623528546794217e-06,2.6376282775333395e-05
287,Psme3,4.9327846,1.4148407,1.955847146164378e-06,2.3194599661213977e-05
288,Vegfb,4.931405,1.5846981,1.925788106990913e-06,2.2916878473191863e-05
289,Eif3a,4.9247737,1.0818831,2.3374120703562678e-06,2.7068486761072078e-05
290,Uhrf1bp1,4.9178457,24.914167,1.2859316489836355e-06,1.6078804784936688e-05
291,Eef1g,4.916928,0.5573609,3.1035675542608655e-06,3.427468903636908e-05
292,2310028O11Rik,4.916299,0.988022,2.4289028456613385e-06,2.7940479067924264e-05
293,Tnfrsf1a,4.9043655,1.3226978,2.3107273410994126e-06,2.6849562471831894e-05
294,Sec61b,4.896637,0.7037786,3.033396113478275e-06,3.378288555433185e-05
295,Eif3i,4.895328,0.7999596,2.8305352373783705e-06,3.192214739932273e-05
296,Snd1,4.8928337,1.243404,2.6256968971944074e-06,3.0004238384827485e-05
297,Arhgdib,4.8863645,0.65758973,3.0940416252120137e-06,3.427468903636908e-05
298,Ndufb5,4.8831873,1.1742916,2.8214926050362913e-06,3.192214739932273e-05
299,Jmy,4.881576,24.988827,1.530319207826441e-06,1.8727416972372512e-05
300,Ppid,4.8798084,1.7175384,2.1231333240161773e-06,2.4921541160475607e-05
301,Phgdh,4.8774533,1.1966283,2.753850237515251e-06,3.1261635426530035e-05
302,Lyl1,4.8665648,1.150316,3.03468401096577e-06,3.378288555433185e-05
303,Lgals1,4.865974,0.8125954,3.7431190130639824e-06,3.999792061855051e-05
304,3110056O03Rik,4.8609724,2.6593087,1.8456331618132087e-06,2.2270209935025813e-05
305,Rpa2,4.8599687,1.2118182,3.108657684260656e-06,3.427468903636908e-05
306,Hk3,4.85591,1.8744032,2.374809350951152e-06,2.7409588863319148e-05
307,Mrps5,4.8476896,2.1386151,2.222037773493606e-06,2.5994075784157408e-05
308,Arpc1b,4.8421054,0.8894368,3.7042179803757142e-06,3.999792061855051e-05
309,Pmf1,4.8417277,1.2135854,2.986470690017718e-06,3.346204659497125e-05
310,Tmem14c,4.839472,0.9657296,3.3801860441915925e-06,3.703181599525456e-05
311,Pdia6,4.8357816,1.6385506,2.9414239590972386e-06,3.306467127962401e-05
312,Srp68,4.8288717,1.1587734,3.354980806763666e-06,3.6872734917647804e-05
313,Selplg,4.8279915,1.0007064,3.73544341205147e-06,3.999792061855051e-05
314,Ptpn7,4.82168,1.1842138,3.509897712052326e-06,3.809011636569993e-05
315,Tgfbi,4.8203,24.823332,2.048352488741397e-06,2.4125817196745942e-05
316,Sf3b3,4.816083,1.2852013,3.497207170191819e-06,3.80721196982081e-05
317,Mcm2,4.7924156,1.0703738,4.192118516270535e-06,4.3972647415348374e-05
318,Fen1,4.7894154,1.1760749,3.847664688357498e-06,4.078650594292836e-05
319,Xbp1,4.7854586,1.2773477,3.98579154815692e-06,4.2064118142781435e-05
320,Etfb,4.784814,0.8033404,4.757375309109962e-06,4.930240898419964e-05
321,Uhrf1,4.7824244,1.4731609,3.7243660115038304e-06,3.999792061855051e-05
322,Zmiz1,4.777534,2.6331012,2.7334752822894956e-06,3.113274983228069e-05
323,Galk1,4.7727084,1.760072,3.4508362113909894e-06,3.768618913136173e-05
324,Cdca3,4.77045,1.4362113,4.23700840493533e-06,4.430883638009644e-05
325,Cst3,4.7638044,0.64568025,5.5240108694822314e-06,5.623410475098283e-05
326,Rasgrp2,4.762249,1.453654,3.998372522707076e-06,4.206824260933573e-05
327,Gars,4.757184,1.1531298,4.574498483517698e-06,4.7693638267732855e-05
328,Lman2,4.7557673,0.79210573,5.204596541531982e-06,5.361511243231901e-05
329,Whsc1,4.72715,1.2126738,5.3681101039855044e-06,5.5106726284244216e-05
330,1300001I01Rik,4.72651,1.3359622,4.627573256997481e-06,4.810167262017562e-05
